method,seed,auc_roc,ap,f1,precision,recall,accuracy,threshold,train_time_sec,score_time_sec,error,dataset,n_rows,n_features,outlier_rate
CBLOF,72,0.8737127371273713,0.16002348115272827,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,3.80720682285757,0.05224776268005371,0.0,,14_glass,214,7,0.04205607476635514
CBLOF,888,0.8574525745257453,0.14279470252181894,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,4.216493393586645,0.0381321907043457,0.0,,14_glass,214,7,0.04205607476635514
HBOS,69,0.8124661246612467,0.14421815117101985,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,13.596318407992447,0.0,0.0,,14_glass,214,7,0.04205607476635514
HBOS,72,0.8124661246612467,0.14421815117101985,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,13.596318407992447,0.0,0.0,,14_glass,214,7,0.04205607476635514
HBOS,888,0.8124661246612467,0.14421815117101985,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,13.596318407992447,0.0,0.0,,14_glass,214,7,0.04205607476635514
ECOD,69,0.7046070460704608,0.1859466647060729,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,19.159505898144424,0.0,0.0,,14_glass,214,7,0.04205607476635514
ECOD,72,0.7046070460704608,0.1859466647060729,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,19.159505898144424,0.0025060176849365234,0.0,,14_glass,214,7,0.04205607476635514
ECOD,888,0.7046070460704608,0.1859466647060729,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,19.159505898144424,0.013532161712646484,0.0,,14_glass,214,7,0.04205607476635514
COPOD,69,0.7550135501355013,0.1084835893893494,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,15.826668208668634,0.0,0.0,,14_glass,214,7,0.04205607476635514
COPOD,72,0.7550135501355013,0.1084835893893494,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,15.826668208668634,0.0,0.0,,14_glass,214,7,0.04205607476635514
COPOD,888,0.7550135501355013,0.1084835893893494,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,15.826668208668634,0.0,0.0,,14_glass,214,7,0.04205607476635514
